Year,State,District,In-migrants
1987 - 1991,Andaman And Nicobar Islands,Nicobar,2973
1987 - 1991,Andhra Pradesh,Anantapur,187545
1987 - 1991,Andhra Pradesh,Chittoor,196325
1987 - 1991,Andhra Pradesh,East Godavari,317140
1987 - 1991,Andhra Pradesh,Guntur,256360
1987 - 1991,Andhra Pradesh,Kadapa,143780
1987 - 1991,Andhra Pradesh,Krishna,265082
1987 - 1991,Andhra Pradesh,Kurnool,158448
1987 - 1991,Andhra Pradesh,Nellore,170886
1987 - 1991,Andhra Pradesh,Prakasam,144107
1987 - 1991,Andhra Pradesh,Srikakulam,122130
1987 - 1991,Andhra Pradesh,Visakhapatnam,256134
1987 - 1991,Andhra Pradesh,Vizianagaram,118976
1987 - 1991,Andhra Pradesh,West Godavari,268538
1987 - 1991,Arunachal Pradesh,Changlang,11376
1987 - 1991,Arunachal Pradesh,Dibang Valley,9274
1987 - 1991,Arunachal Pradesh,East Kameng,3385
1987 - 1991,Arunachal Pradesh,East Siang,8589
1987 - 1991,Arunachal Pradesh,Lohit,22272
1987 - 1991,Arunachal Pradesh,Lower Subansiri,22247
