Year,State,District,AvgSyllabicCount,In-migrants
1982 - 1986,Arunachal Pradesh,Tawang,1.9059432072,1350
1982 - 1986,Arunachal Pradesh,Tirap,2.0140312124,4502
1982 - 1986,Arunachal Pradesh,Upper Subansiri,1.8987609103999998,2548
1982 - 1986,Arunachal Pradesh,West Kameng,1.928661207,3863
1982 - 1986,Arunachal Pradesh,West Siang,1.8768672154,6303
1982 - 1986,Chandigarh,Chandigarh,2.552897097648861,81936
1982 - 1986,Dadra And Nagar Haveli,Dadra And Nagar Haveli,2.292373217346838,7499
1982 - 1986,Daman And Diu,Daman,2.3032856247657927,5027
1982 - 1986,Daman And Diu,Diu,2.344795425650476,1048
1982 - 1986,Goa,North Goa,2.3626974852,50408
1982 - 1986,Goa,South Goa,2.4093593624,42613
1982 - 1986,Haryana,Ambala,2.3622415817039264,72558
1982 - 1986,Haryana,Bhiwani,2.2087016544247557,42075
1982 - 1986,Haryana,Faridabad,2.4405483285109972,107891
1982 - 1986,Haryana,Gurgaon,2.12962850138944,53114
1982 - 1986,Haryana,Hisar,2.3041941213332273,90570
1982 - 1986,Haryana,Jind,2.2628560069173798,42579
1982 - 1986,Haryana,Kaithal,2.3276835217345764,34299
1982 - 1986,Haryana,Karnal,2.2085737421060445,41872
1982 - 1986,Haryana,Kurukshetra,2.37255198315642,30705
1982 - 1986,Haryana,Mahendragarh,2.1689096663704985,26018
1982 - 1986,Haryana,Panipat,2.189533778470063,44346
1982 - 1986,Haryana,Rewari,2.1784986683429284,25393
1982 - 1986,Haryana,Rohtak,2.152298564830632,73144
1982 - 1986,Haryana,Sirsa,2.4114836802283106,50501
1982 - 1986,Haryana,Sonipat,2.169600407354941,38070
1982 - 1986,Haryana,Yamunanagar,2.3019675547072564,39032
1982 - 1986,Himachal Pradesh,Bilaspur,2.0253097858828064,14317
1982 - 1986,Himachal Pradesh,Chamba,1.9155741933012824,19651
1982 - 1986,Himachal Pradesh,Hamirpur,2.0332942287348703,20565
1982 - 1986,Himachal Pradesh,Kangra,2.066749554928013,61317
1982 - 1986,Himachal Pradesh,Kinnaur,2.0185227734061337,3788
1982 - 1986,Himachal Pradesh,Kullu,1.8698994325329288,12148
1982 - 1986,Himachal Pradesh,Lahaul And Spiti,2.157307262045356,1523
1982 - 1986,Himachal Pradesh,Mandi,1.920333376591869,35454
1982 - 1986,Himachal Pradesh,Shimla,1.982924566674279,39135
1982 - 1986,Himachal Pradesh,Sirmaur,2.0661424177763883,19933
1982 - 1986,Himachal Pradesh,Solan,2.0792734728364253,26401
1982 - 1986,Himachal Pradesh,Una,2.120100066222134,20761
1982 - 1986,Madhya Pradesh,Balaghat,2.28654664124888,59302
1982 - 1986,Madhya Pradesh,Betul,2.2248667940612896,48850
1982 - 1986,Madhya Pradesh,Bhind,2.222973112810288,53240
1982 - 1986,Madhya Pradesh,Bhopal,2.563741298443589,93023
1982 - 1986,Madhya Pradesh,Chhatarpur,2.308513804115893,41158
1982 - 1986,Madhya Pradesh,Chhindwara,2.4094404832369247,72714
